DATE,VIX_OPEN,VIX_HIGH,VIX_LOW,VIX_CLOSE
2010-07-19,19.7,20.87,19.36,20.71
2010-07-20,20.71,20.71,19.61,20.38
2010-07-21,20.38,20.38,18.82,20.0
2010-07-22,20.0,20.37,18.68,18.9
2010-07-23,18.9,19.72,17.14,19.24
2010-07-26,19.24,20.05,18.62,19.97
2010-07-27,19.97,20.16,18.96,19.22
2010-07-28,19.22,19.81,17.96,19.52
2010-07-29,19.52,19.65,18.33,18.33
2010-07-30,18.33,19.23,16.25,18.94
2010-08-02,18.94,19.26,17.92,17.99
2010-08-03,17.99,18.26,16.78,17.55
2010-08-04,17.55,17.64,16.74,17.04
2010-08-05,17.04,17.72,15.83,17.71
2010-08-06,17.71,17.71,16.63,17.37
2010-08-09,17.37,17.92,16.87,17.0
2010-08-10,17.0,17.75,16.37,17.33
2010-08-11,17.33,18.11,16.39,18.11
2010-08-12,18.11,18.71,16.74,18.0
2010-08-13,18.0,18.0,15.87,16.74
2010-08-16,16.74,18.32,15.8,18.11
2010-08-17,18.11,18.11,16.25,17.63
2010-08-18,17.63,17.76,15.42,16.4
2010-08-19,16.4,17.02,15.47,16.53
2010-08-20,16.53,16.87,15.29,16.7
2010-08-23,16.7,17.3,15.44,17.14
2010-08-24,17.14,17.8,15.58,16.99
2010-08-25,16.99,19.35,15.4,18.92
2010-08-26,18.92,18.92,16.9,17.09
2010-08-27,17.09,19.63,15.28,19.63
2010-08-30,19.63,19.63,16.6,18.36
2010-08-31,18.36,19.42,17.59,18.47
2010-09-01,18.47,18.47,16.66,16.7
2010-09-02,16.7,16.7,15.13,16.15
2010-09-03,16.15,16.44,15.23,15.86
2010-09-06,15.86,16.11,15.09,15.22
2010-09-07,15.22,16.0,14.35,15.83
2010-09-08,15.83,16.32,15.16,15.97
2010-09-09,15.97,16.2,14.94,15.92
2010-09-13,15.92,18.23,14.88,18.14
2010-09-14,18.14,20.63,16.88,18.6
2010-09-15,18.6,20.08,17.54,19.43
2010-09-16,19.43,20.09,17.97,18.85
2010-09-17,18.85,19.49,16.51,19.49
2010-09-20,19.49,21.97,17.85,21.95
2010-09-21,21.95,24.3,20.94,22.63
2010-09-22,22.63,24.35,20.61,24.29
2010-09-23,24.29,24.46,20.71,23.9
2010-09-24,23.9,23.9,21.58,21.71
2010-09-27,21.71,22.82,20.47,22.36
2010-09-28,22.36,22.42,20.85,21.21
2010-09-29,21.21,22.57,18.8,22.16
2010-09-30,22.16,22.95,19.05,22.25
2010-10-01,22.25,22.25,20.21,21.43
2010-10-04,21.43,22.88,21.43,22.8
2010-10-05,22.8,23.01,21.81,22.17
2010-10-06,22.17,22.17,20.59,21.73
2010-10-07,21.73,22.78,19.33,22.45
2010-10-08,22.45,22.45,21.03,21.4
2010-10-11,21.4,21.76,19.67,21.2
2010-10-12,21.2,22.22,20.5,20.51
2010-10-13,20.51,20.51,19.01,20.02
2010-10-14,20.02,20.99,18.14,20.6
2010-10-15,20.6,22.67,17.8,22.65
2010-10-18,22.65,23.99,21.97,22.35
2010-10-19,22.35,23.23,20.58,23.23
2010-10-20,23.23,23.86,21.92,23.8
2010-10-21,23.8,23.8,21.92,22.19
2010-10-22,22.19,22.44,20.42,21.61
2010-10-25,21.61,22.04,20.67,21.36
2010-10-26,21.36,21.6,18.47,20.55
2010-10-27,20.55,21.76,20.09,21.02
2010-10-28,21.02,21.22,20.28,20.52
2010-10-29,20.52,22.0,20.03,20.76
2010-11-01,20.76,21.19,20.31,20.92
2010-11-02,20.92,21.86,19.43,21.25
2010-11-03,21.25,21.66,19.23,21.53
2010-11-04,21.53,21.53,19.26,19.36
2010-11-05,19.36,19.43,17.71,19.22
2010-11-08,19.22,20.12,17.49,19.61
2010-11-09,19.61,19.78,17.17,18.75
2010-11-10,18.75,19.26,16.45,19.08
2010-11-11,19.08,19.91,16.38,19.36
2010-11-12,19.36,22.41,17.63,21.63
2010-11-15,21.63,22.48,19.26,20.25
2010-11-16,20.25,22.42,17.52,21.13
2010-11-18,21.13,22.82,17.59,20.62
2010-11-19,20.62,21.91,18.41,21.6
2010-11-22,21.6,21.85,19.44,19.93
2010-11-23,19.93,24.95,19.4,23.26
2010-11-24,23.26,24.95,20.95,24.68
2010-11-25,24.68,24.68,21.12,21.63
2010-11-26,21.63,23.84,20.1,22.58
2010-11-29,22.58,22.89,21.31,21.31
2010-11-30,21.31,22.22,20.64,20.71
2010-12-01,20.71,20.71,19.08,19.2
2010-12-02,19.2,19.51,17.56,18.8
2010-12-03,18.8,19.28,17.14,18.6
2010-12-06,18.6,19.37,17.46,19.37
2010-12-07,19.37,19.79,17.75,19.24
2010-12-08,19.24,20.95,18.21,20.43
2010-12-09,20.43,23.01,18.22,22.6
2010-12-10,22.6,22.86,21.43,21.63
2010-12-13,21.63,23.72,20.14,22.57
2010-12-14,22.57,22.83,21.29,21.46
2010-12-15,21.46,22.09,20.67,21.42
2010-12-16,21.42,21.6,19.94,20.24
2010-12-20,20.24,21.88,20.24,20.78
2010-12-21,20.78,20.78,18.75,19.77
2010-12-22,19.77,20.06,18.67,19.56
2010-12-23,19.56,19.78,18.81,19.03
2010-12-24,19.03,19.31,17.62,17.65
2010-12-27,17.65,18.69,17.05,18.45
2010-12-28,18.45,18.83,17.89,18.13
2010-12-29,18.13,18.32,17.13,17.13
2010-12-30,17.13,17.98,16.48,17.02
2010-12-31,17.02,17.05,16.34,16.56
2011-01-03,16.56,17.1,15.28,16.99
2011-01-04,16.99,17.52,15.76,17.03
2011-01-05,17.03,18.43,16.8,17.88
2011-01-06,17.88,18.87,16.69,18.2
2011-01-07,18.2,20.87,17.64,20.82
2011-01-10,20.82,23.24,19.61,23.16
2011-01-11,23.16,24.11,21.73,22.33
2011-01-12,22.33,23.76,20.44,21.41
2011-01-13,21.41,23.49,21.15,23.15
2011-01-14,23.15,24.06,20.99,23.81
2011-01-17,23.81,25.52,23.57,23.57
2011-01-18,23.57,23.64,21.44,21.46
2011-01-19,21.46,21.84,20.6,21.09
2011-01-20,21.09,21.77,20.06,21.01
2011-01-21,21.01,21.49,19.06,21.03
2011-01-24,21.03,21.14,20.1,20.17
2011-01-25,20.17,21.1,18.93,20.78
2011-01-27,20.78,22.27,19.08,22.09
2011-01-28,22.09,23.79,21.74,22.58
2011-01-31,22.58,24.67,22.58,23.41
2011-02-01,23.41,24.69,21.67,23.73
2011-02-02,23.73,23.73,21.65,23.52
2011-02-03,23.52,23.54,22.46,22.69
2011-02-04,22.69,24.77,21.96,24.41
2011-02-07,24.41,25.44,23.59,24.69
2011-02-08,24.69,25.32,23.17,24.74
2011-02-09,24.74,26.03,24.53,25.24
2011-02-10,25.24,26.11,23.92,24.82
2011-02-11,24.82,24.84,21.86,23.47
2011-02-14,23.47,23.69,21.56,22.58
2011-02-15,22.58,23.43,20.76,22.85
2011-02-16,22.85,23.59,21.7,23.05
2011-02-17,23.05,23.41,22.04,22.57
2011-02-18,22.57,24.52,20.38,24.18
2011-02-21,24.18,26.27,23.65,24.91
2011-02-22,24.91,28.13,24.91,26.85
2011-02-23,26.85,27.24,26.17,26.55
2011-02-24,26.55,28.9,26.39,28.2
2011-02-25,28.2,29.05,27.19,27.27
2011-02-28,27.27,27.88,22.37,24.4
2011-03-01,24.4,24.4,22.22,22.22
2011-03-03,22.22,23.84,22.07,22.96
2011-03-04,22.96,23.51,21.83,22.91
2011-03-07,22.91,26.12,22.91,25.22
2011-03-08,25.22,25.22,23.63,23.67
2011-03-09,23.67,24.23,22.46,23.28
2011-03-10,23.28,24.17,22.63,23.53
2011-03-11,23.53,25.22,22.87,24.13
2011-03-14,24.13,24.64,23.07,23.3
2011-03-15,23.3,27.52,23.3,26.63
2011-03-16,26.63,26.63,24.14,24.89
2011-03-17,24.89,26.11,23.47,25.26
2011-03-18,25.26,26.6,23.27,25.89
2011-03-21,25.89,26.59,23.69,25.21
2011-03-22,25.21,25.21,22.18,22.26
2011-03-23,22.26,22.37,20.97,20.97
2011-03-24,20.97,20.97,18.83,19.84
2011-03-25,19.84,20.68,19.0,20.47
2011-03-28,20.47,21.87,20.24,21.02
2011-03-29,21.02,22.19,20.37,21.22
2011-03-30,21.22,22.14,19.95,22.04
2011-03-31,22.04,22.98,21.13,22.18
2011-04-01,22.18,22.18,20.1,20.11
2011-04-04,20.11,21.06,19.9,20.06
2011-04-05,20.06,20.72,18.84,19.9
2011-04-06,19.9,20.54,19.42,20.36
2011-04-07,20.36,20.79,19.97,20.32
2011-04-08,20.32,21.06,19.24,20.54
2011-04-11,20.54,21.63,20.36,21.24
2011-04-13,21.24,21.29,20.28,20.41
2011-04-15,20.41,22.4,19.54,21.59
2011-04-18,21.59,22.99,21.14,22.45
2011-04-19,22.45,23.04,21.5,22.07
2011-04-20,22.07,22.07,20.79,20.99
2011-04-21,20.99,20.99,19.86,20.51
2011-04-25,20.51,21.62,20.41,20.91
2011-04-26,20.91,22.42,20.88,21.71
2011-04-27,21.71,21.89,20.72,21.35
2011-04-28,21.35,21.65,20.25,20.92
2011-04-29,20.92,20.92,18.45,19.58
2011-05-02,19.58,21.13,19.58,20.88
2011-05-03,20.88,21.94,20.35,21.58
2011-05-04,21.58,21.81,20.58,21.18
2011-05-05,21.18,21.7,19.88,21.6
2011-05-06,21.6,21.6,19.36,20.97
2011-05-09,20.97,21.95,19.92,21.5
2011-05-10,21.5,21.91,20.19,21.74
2011-05-11,21.74,21.74,19.89,21.24
2011-05-12,21.24,21.45,19.83,21.23
2011-05-13,21.23,21.23,19.4,20.63
2011-05-16,20.63,21.97,19.9,21.46
2011-05-17,21.46,21.46,19.76,21.03
2011-05-18,21.03,21.42,19.42,20.71
2011-05-19,20.71,20.72,19.13,20.41
2011-05-20,20.41,20.41,18.42,19.45
2011-05-23,19.45,23.45,18.52,21.04
2011-05-24,21.04,21.36,19.55,19.93
2011-05-25,19.93,24.31,19.35,20.66
2011-05-26,20.66,20.85,18.53,19.18
2011-05-27,19.18,19.18,17.14,17.25
2011-05-30,17.25,18.87,17.25,17.87
2011-05-31,17.87,17.87,16.67,16.82
2011-06-01,16.82,17.43,16.36,16.73
2011-06-02,16.73,18.04,16.73,17.98
2011-06-03,17.98,18.17,16.99,17.61
2011-06-06,17.61,18.84,17.59,18.21
2011-06-07,18.21,18.58,17.84,18.03
2011-06-08,18.03,18.72,17.71,18.58
2011-06-09,18.58,19.0,17.8,18.58
2011-06-10,18.58,19.75,17.55,18.54
2011-06-13,18.54,19.41,18.23,18.91
2011-06-14,18.91,18.91,17.53,18.51
2011-06-15,18.51,19.22,17.9,19.14
2011-06-16,19.14,19.86,18.34,19.66
2011-06-17,19.66,20.28,18.6,20.27
2011-06-20,20.27,24.38,19.78,22.18
2011-06-21,22.18,22.18,20.93,21.31
